store_name,store_lat,store_lng,pincode,area,product_name,mrp,selling_price,discount_pct,in_stock,delivery_eta,scanned_at,error
GGN-Sector 95,28.410694,76.90725,122505,Sector 92,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1532.0,43.2,False,,2026-05-10T17:33:00.783742,
GGN-Sector 86,28.394882,76.933179,122050,Sector 87,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1532.0,43.2,False,9 min,2026-05-10T17:33:29.707688,
GGN-Sector 70 A,28.38621,77.02198,122015,Sector 70A,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1532.0,43.2,False,9 min,2026-05-10T17:33:51.932769,
GGN-Sector 69 New,28.39477383,77.03515906,122101,Sector 48,,,,,,,2026-05-10T17:34:22.238127,No suggestions for pin 122101
GGN-Sector66,28.40211,77.059,122008,Marbella,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1532.0,43.2,False,9 min,2026-05-10T17:35:05.823187,
FBD-Sainik Colony,28.396046,77.267029,121001,Badkhal,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1532.0,43.2,False,7 min,2026-05-10T17:35:36.402035,
GGN-SECTOR 71,28.41196,77.02917,122004,Sector 72,,,,,,,2026-05-10T17:36:10.041463,No suggestions for pin 122004
GGN-SECTOR 49,28.410107,77.051341,122018,Sector 49,Bigmuscles Nutrition Nitric Whey Unflavoured,2699.0,1532.0,43.2,False,8 min,2026-05-10T17:36:53.601207,
GGN-Sector 10A,28.44296713,77.01065435,122001,Shivaji Nagar,,,,,,,2026-05-10T17:37:31.121533,No suggestions for pin 122001
GGN-SECTOR 51,28.42600423,77.06762183,101301,Sector 51,,,,,,,2026-05-10T17:38:14.777462,No suggestions for pin 101301
